timestamp,etichetta_variante,modello,posizione_id,numero_pedine,mossa_ottimale,valore_teorico,mossa_scelta_llm,e_ottimale,tentativi_falliti
2026-09-17T14:41:00,elo_800,mimo-v2.5,1,39,"2,1,1",1,,False,3
2026-09-17T14:41:01,elo_800,mimo-v2.5,2,37,"4,3,1",1,,False,3
2026-09-17T14:41:03,elo_800,mimo-v2.5,5,42,"2,4,1",1,,False,3
2026-09-17T14:41:03,elo_800,mimo-v2.5,4,37,"2,4,3",1,,False,3
2026-09-17T14:41:04,elo_800,mimo-v2.5,3,40,"2,1,3",1,,False,3
2026-09-17T14:41:05,elo_800,mimo-v2.5,10,36,"1,4,3",1,,False,3
2026-09-17T14:41:06,elo_800,mimo-v2.5,7,36,"1,3,3",1,,False,3
2026-09-17T14:41:09,elo_800,mimo-v2.5,11,37,"2,1,4",1,,False,3
2026-09-17T14:41:10,elo_800,mimo-v2.5,8,37,"2,1,1",1,,False,3
2026-09-17T14:41:12,elo_800,mimo-v2.5,9,37,"4,4,2",1,,False,3
2026-09-17T14:41:13,elo_800,mimo-v2.5,12,39,"3,2,3",1,,False,3
2026-09-17T14:41:14,elo_800,mimo-v2.5,16,41,"4,3,3",1,,False,3
2026-09-17T14:41:16,elo_800,mimo-v2.5,15,40,"4,2,1",1,,False,3
2026-09-17T14:41:16,elo_800,mimo-v2.5,6,37,"1,4,1",1,,False,3
2026-09-17T14:41:17,elo_800,mimo-v2.5,14,36,"2,1,2",1,,False,3
2026-09-17T14:41:18,elo_800,mimo-v2.5,13,38,"3,4,4",1,,False,3
2026-09-17T14:41:19,elo_800,mimo-v2.5,17,40,"2,1,2",1,,False,3
2026-09-17T14:41:20,elo_800,mimo-v2.5,21,36,"4,4,4",1,,False,3
2026-09-17T14:41:22,elo_800,mimo-v2.5,18,37,"1,3,3",1,,False,3
2026-09-17T14:41:24,elo_800,mimo-v2.5,22,37,"2,3,1",1,,False,3
2026-09-17T14:41:26,elo_800,mimo-v2.5,20,39,"1,4,3",1,,False,3
2026-09-17T14:41:27,elo_800,mimo-v2.5,23,42,"3,3,2",1,,False,3
2026-09-17T14:41:28,elo_800,mimo-v2.5,28,40,"1,3,4",1,,False,3
2026-09-17T14:41:29,elo_800,mimo-v2.5,25,38,"4,2,1",1,,False,3
2026-09-17T14:41:30,elo_800,mimo-v2.5,19,39,"2,2,3",1,,False,3
2026-09-17T14:41:32,elo_800,mimo-v2.5,26,36,"3,3,3",1,,False,3
2026-09-17T14:41:32,elo_800,mimo-v2.5,24,40,"2,4,4",1,,False,3
2026-09-17T14:41:34,elo_800,mimo-v2.5,27,36,"1,4,4",1,,False,3
2026-09-17T14:41:34,elo_800,mimo-v2.5,29,39,"2,4,4",1,,False,3
2026-09-17T14:41:35,elo_800,mimo-v2.5,31,37,"1,3,2",1,,False,3
2026-09-17T14:41:36,elo_800,mimo-v2.5,30,38,"2,3,2",1,,False,3
2026-09-17T14:41:37,elo_800,mimo-v2.5,32,40,"1,2,4",1,,False,3
2026-09-17T14:41:39,elo_800,mimo-v2.5,34,36,"1,1,4",1,,False,3
2026-09-17T14:41:39,elo_800,mimo-v2.5,35,37,"3,4,1",1,,False,3
2026-09-17T14:41:40,elo_800,mimo-v2.5,39,39,"2,3,3",1,,False,3
2026-09-17T14:41:41,elo_800,mimo-v2.5,38,39,"2,1,1",1,,False,3
2026-09-17T14:41:42,elo_800,mimo-v2.5,41,38,"4,4,1",1,,False,3
2026-09-17T14:41:44,elo_800,mimo-v2.5,33,38,"4,1,1",1,,False,3
2026-09-17T14:41:46,elo_800,mimo-v2.5,40,39,"4,2,2",1,,False,3
2026-09-17T14:41:47,elo_800,mimo-v2.5,43,41,"2,2,4",1,,False,3
2026-09-17T14:41:48,elo_800,mimo-v2.5,36,39,"4,1,4",1,,False,3
2026-09-17T14:41:49,elo_800,mimo-v2.5,45,37,"1,3,3",1,,False,3
2026-09-17T14:41:50,elo_800,mimo-v2.5,37,39,"2,3,2",1,,False,3
2026-09-17T14:41:52,elo_800,mimo-v2.5,42,40,"3,2,4",1,,False,3
2026-09-17T14:41:54,elo_800,mimo-v2.5,46,38,"1,4,3",1,,False,3
2026-09-17T14:41:55,elo_800,mimo-v2.5,47,36,"3,1,1",1,,False,3
2026-09-17T14:41:57,elo_800,mimo-v2.5,48,37,"1,2,2",1,,False,3
2026-09-17T14:41:58,elo_800,mimo-v2.5,51,40,"1,1,4",1,,False,3
2026-09-17T14:42:00,elo_800,mimo-v2.5,50,39,"2,3,3",1,,False,3
2026-09-17T14:42:01,elo_800,mimo-v2.5,52,39,"4,4,1",1,,False,3
2026-09-17T14:42:03,elo_800,mimo-v2.5,49,40,"1,3,1",1,,False,3
2026-09-17T14:42:04,elo_800,mimo-v2.5,57,37,"2,4,2",1,,False,3
2026-09-17T14:42:05,elo_800,mimo-v2.5,55,41,"2,3,2",1,,False,3
2026-09-17T14:42:06,elo_800,mimo-v2.5,58,37,"4,4,3",1,,False,3
2026-09-17T14:42:08,elo_800,mimo-v2.5,54,39,"1,3,3",1,,False,3
2026-09-17T14:42:08,elo_800,mimo-v2.5,60,39,"1,1,4",1,,False,3
2026-09-17T14:42:10,elo_800,mimo-v2.5,59,39,"3,1,3",1,,False,3
2026-09-17T14:42:11,elo_800,mimo-v2.5,53,37,"3,2,3",1,,False,3
2026-09-17T14:42:12,elo_800,mimo-v2.5,56,40,"3,4,4",1,,False,3
2026-09-17T14:42:14,elo_800,mimo-v2.5,44,37,"2,2,3",1,,False,3
2026-09-17T14:42:15,elo_800,mimo-v2.5,64,38,"1,2,1",1,,False,3
2026-09-17T14:42:15,elo_800,mimo-v2.5,62,36,"2,2,3",1,,False,3
2026-09-17T14:42:16,elo_800,mimo-v2.5,63,39,"3,2,1",1,,False,3
2026-09-17T14:42:17,elo_800,mimo-v2.5,61,36,"4,2,1",1,,False,3
2026-09-17T14:42:19,elo_800,mimo-v2.5,69,40,"4,3,1",1,,False,3
2026-09-17T14:42:19,elo_800,mimo-v2.5,67,36,"1,3,2",1,,False,3
2026-09-17T14:42:20,elo_800,mimo-v2.5,68,36,"2,4,3",1,,False,3
2026-09-17T14:42:21,elo_800,mimo-v2.5,65,38,"1,3,4",1,,False,3
2026-09-17T14:42:22,elo_800,mimo-v2.5,71,39,"3,3,4",1,,False,3
2026-09-17T14:42:24,elo_800,mimo-v2.5,70,36,"2,2,3",1,,False,3
2026-09-17T14:42:25,elo_800,mimo-v2.5,72,38,"1,2,1",1,,False,3
2026-09-17T14:42:27,elo_800,mimo-v2.5,66,36,"4,4,2",1,,False,3
2026-09-17T14:42:28,elo_800,mimo-v2.5,76,37,"3,4,3",1,,False,3
2026-09-17T14:42:29,elo_800,mimo-v2.5,73,41,"2,4,4",1,,False,3
2026-09-17T14:42:30,elo_800,mimo-v2.5,75,40,"1,1,4",1,,False,3
2026-09-17T14:42:30,elo_800,mimo-v2.5,77,39,"4,4,1",1,,False,3
2026-09-17T14:42:31,elo_800,mimo-v2.5,81,40,"2,3,4",1,,False,3
2026-09-17T14:42:33,elo_800,mimo-v2.5,79,39,"3,3,4",1,,False,3
2026-09-17T14:42:34,elo_800,mimo-v2.5,83,36,"3,2,1",1,,False,3
2026-09-17T14:42:35,elo_800,mimo-v2.5,74,36,"2,1,2",1,,False,3
2026-09-17T14:42:36,elo_800,mimo-v2.5,78,36,"2,1,2",1,,False,3
2026-09-17T14:42:37,elo_800,mimo-v2.5,82,37,"4,2,4",1,,False,3
2026-09-17T14:42:38,elo_800,mimo-v2.5,87,36,"2,1,1",1,,False,3
2026-09-17T14:42:40,elo_800,mimo-v2.5,80,37,"4,1,2",1,,False,3
2026-09-17T14:42:41,elo_800,mimo-v2.5,85,40,"4,3,1",1,,False,3
2026-09-17T14:42:42,elo_800,mimo-v2.5,89,36,"2,3,3",1,,False,3
2026-09-17T14:42:42,elo_800,mimo-v2.5,84,36,"4,3,3",1,,False,3
2026-09-17T14:42:44,elo_800,mimo-v2.5,88,39,"2,1,4",1,,False,3
2026-09-17T14:42:45,elo_800,mimo-v2.5,91,39,"3,3,2",1,,False,3
