timestamp,etichetta_variante,modello,posizione_id,numero_mosse_giocate,colonne_ottimali,valore_teorico,colonna_scelta_llm,e_ottimale,tentativi_falliti
2026-07-08T11:58:44,elo_800,google/gemini-2.5-flash-lite,1,26,1 3 6,1,7,False,0
2026-07-08T11:58:45,elo_800,google/gemini-2.5-flash-lite,2,32,1 3 4,1,4,True,0
2026-07-08T11:58:46,elo_800,google/gemini-2.5-flash-lite,3,21,4,1,4,True,0
2026-07-08T11:58:46,elo_800,google/gemini-2.5-flash-lite,4,20,1 2 3 4 5 6 7,-1,5,True,0
2026-07-08T11:58:47,elo_800,google/gemini-2.5-flash-lite,5,26,2 3 4 5 6 7,1,2,True,0
2026-07-08T11:58:47,elo_800,google/gemini-2.5-flash-lite,6,24,4 5,1,4,True,0
2026-07-08T11:58:47,elo_800,google/gemini-2.5-flash-lite,7,21,2,1,3,False,0
2026-07-08T11:58:48,elo_800,google/gemini-2.5-flash-lite,8,30,5,1,1,False,0
2026-07-08T11:58:48,elo_800,google/gemini-2.5-flash-lite,9,21,4,1,7,False,0
2026-07-08T11:58:49,elo_800,google/gemini-2.5-flash-lite,10,21,1 2 3 4 5 6 7,-1,4,True,0
2026-07-08T11:58:50,elo_1800,google/gemini-2.5-flash-lite,1,26,1 3 6,1,6,True,0
2026-07-08T11:58:50,elo_1800,google/gemini-2.5-flash-lite,2,32,1 3 4,1,3,True,0
2026-07-08T11:58:51,elo_1800,google/gemini-2.5-flash-lite,3,21,4,1,4,True,0
2026-07-08T11:58:51,elo_1800,google/gemini-2.5-flash-lite,4,20,1 2 3 4 5 6 7,-1,4,True,0
2026-07-08T11:58:51,elo_1800,google/gemini-2.5-flash-lite,5,26,2 3 4 5 6 7,1,5,True,0
2026-07-08T11:58:52,elo_1800,google/gemini-2.5-flash-lite,6,24,4 5,1,7,False,0
2026-07-08T11:58:52,elo_1800,google/gemini-2.5-flash-lite,7,21,2,1,5,False,0
2026-07-08T11:58:53,elo_1800,google/gemini-2.5-flash-lite,8,30,5,1,4,False,0
2026-07-08T11:58:53,elo_1800,google/gemini-2.5-flash-lite,9,21,4,1,3,False,0
2026-07-08T11:58:53,elo_1800,google/gemini-2.5-flash-lite,10,21,1 2 3 4 5 6 7,-1,5,True,0
2026-07-08T11:58:55,elo_2800,google/gemini-2.5-flash-lite,1,26,1 3 6,1,3,True,1
2026-07-08T11:58:55,elo_2800,google/gemini-2.5-flash-lite,2,32,1 3 4,1,4,True,0
2026-07-08T11:58:55,elo_2800,google/gemini-2.5-flash-lite,3,21,4,1,4,True,0
2026-07-08T11:58:56,elo_2800,google/gemini-2.5-flash-lite,4,20,1 2 3 4 5 6 7,-1,4,True,0
2026-07-08T11:58:56,elo_2800,google/gemini-2.5-flash-lite,5,26,2 3 4 5 6 7,1,4,True,0
2026-07-08T11:58:57,elo_2800,google/gemini-2.5-flash-lite,6,24,4 5,1,3,False,0
2026-07-08T11:58:57,elo_2800,google/gemini-2.5-flash-lite,7,21,2,1,4,False,0
2026-07-08T11:58:58,elo_2800,google/gemini-2.5-flash-lite,8,30,5,1,7,False,1
2026-07-08T11:58:58,elo_2800,google/gemini-2.5-flash-lite,9,21,4,1,6,False,0
2026-07-08T11:58:59,elo_2800,google/gemini-2.5-flash-lite,10,21,1 2 3 4 5 6 7,-1,6,True,0
2026-07-08T12:00:45,elo_800,google/gemini-2.5-flash-lite,1,24,1 4 5,1,5,True,0
2026-07-08T12:00:45,elo_800,google/gemini-2.5-flash-lite,2,20,2 4 6,1,4,True,0
2026-07-08T12:00:46,elo_800,google/gemini-2.5-flash-lite,3,27,1 2 3 5,1,2,True,0
2026-07-08T12:00:46,elo_800,google/gemini-2.5-flash-lite,4,26,1 2 3 4 5 6 7,-1,4,True,0
2026-07-08T12:00:47,elo_800,google/gemini-2.5-flash-lite,5,26,1 2 3 4 5 6 7,1,3,True,0
2026-07-08T12:00:47,elo_800,google/gemini-2.5-flash-lite,6,21,1 2 4 5 6 7,-1,4,True,0
2026-07-08T12:00:48,elo_800,google/gemini-2.5-flash-lite,7,23,4 7,1,3,False,0
2026-07-08T12:00:48,elo_800,google/gemini-2.5-flash-lite,8,24,1 4 6,1,4,True,0
2026-07-08T12:00:49,elo_800,google/gemini-2.5-flash-lite,9,27,1 2 4 5 6 7,-1,4,True,0
2026-07-08T12:00:49,elo_800,google/gemini-2.5-flash-lite,10,22,5 6,1,5,True,0
2026-07-08T12:00:50,elo_800,google/gemini-2.5-flash-lite,11,20,1 2 3 4 5 7,-1,4,True,0
2026-07-08T12:00:50,elo_800,google/gemini-2.5-flash-lite,12,27,1 2 3 5 7,-1,5,True,0
2026-07-08T12:00:50,elo_800,google/gemini-2.5-flash-lite,13,24,4,1,4,True,0
2026-07-08T12:00:50,elo_800,google/gemini-2.5-flash-lite,14,22,5,1,4,False,0
2026-07-08T12:00:51,elo_800,google/gemini-2.5-flash-lite,15,21,4 6,1,4,True,0
2026-07-08T12:00:51,elo_800,google/gemini-2.5-flash-lite,16,20,1 4,1,3,False,0
2026-07-08T12:00:52,elo_800,google/gemini-2.5-flash-lite,17,22,3 6,1,6,True,0
2026-07-08T12:00:53,elo_800,google/gemini-2.5-flash-lite,18,32,4 5 6,-1,4,True,0
2026-07-08T12:00:53,elo_800,google/gemini-2.5-flash-lite,19,25,6,0,5,False,0
2026-07-08T12:00:54,elo_800,google/gemini-2.5-flash-lite,20,26,5,1,4,False,0
2026-07-08T12:00:54,elo_800,google/gemini-2.5-flash-lite,21,20,1 4,1,4,True,0
2026-07-08T12:00:54,elo_800,google/gemini-2.5-flash-lite,22,23,1 3 4 5 6 7,-1,6,True,0
2026-07-08T12:00:55,elo_800,google/gemini-2.5-flash-lite,23,29,1 2 5 6 7,1,4,False,0
2026-07-08T12:00:55,elo_800,google/gemini-2.5-flash-lite,24,20,1 2 3 4 5 6,1,4,True,0
2026-07-08T12:00:55,elo_800,google/gemini-2.5-flash-lite,25,21,6 7,1,3,False,0
2026-07-08T12:00:57,elo_800,google/gemini-2.5-flash-lite,26,21,1 2 3 5 7,1,3,True,1
2026-07-08T12:00:57,elo_800,google/gemini-2.5-flash-lite,27,20,4 6,1,5,False,0
2026-07-08T12:00:57,elo_800,google/gemini-2.5-flash-lite,28,20,1 2 3 4 5 6 7,1,4,True,0
2026-07-08T12:00:57,elo_800,google/gemini-2.5-flash-lite,29,25,1 2 4 5 6 7,1,4,True,0
2026-07-08T12:00:58,elo_800,google/gemini-2.5-flash-lite,30,26,1,1,6,False,0
